0,crzza
1,thatguy0130
2,frames
3,killroycantkill
4,kane
5,sjschmidt93
6,frenchfriedfool
7,dsplayer1010
8,mymanwich
9,aaron_g
10,voidpresence
11,pawsoffury
12,soylentgreen
13,adrenaline
14,din5193
15,steven
16,imperiousrix
17,orgazmorater
18,davekingston
19,darthincredible25
20,kournelle
21,addictedgamer50
22,tds418
23,sirmokona
24,ditchell
25,spiredcrescent7
26,nobler
27,chaingangsoldier
28,toolzz360
29,nymets819
30,martinb
31,will2k123
32,linksocarina
33,damnboyadvance
34,razr95
